Snort,Time,Source,Destination,Protocol,Length,Info
1,23:37.8,192.168.253.140,192.168.253.136,ICMP,98,"Echo (ping) request  id=0x3212, seq=1/256, ttl=64 (no response found!)"
1,23:37.8,192.168.253.140,192.168.253.136,ICMP,98,"Echo (ping) request  id=0x3212, seq=1/256, ttl=64 (no response found!)"
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,[TCP Out-Of-Order] 45782  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
1,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
