Snort,Time,Source,Destination,Protocol,Length,Info
0,23:37.8,192.168.253.140,192.168.253.136,ICMP,98,"Echo (ping) request  id=0x3212, seq=1/256, ttl=64 (reply in 2)"
0,23:37.8,192.168.253.136,192.168.253.140,ICMP,98,"Echo (ping) reply    id=0x3212, seq=1/256, ttl=64 (request in 1)"
0,23:38.4,VMware_ce:ef:0c,Broadcast,ARP,60,Who has 192.168.253.136? Tell 192.168.253.140
0,23:38.4,VMware_5c:75:2f,VMware_ce:ef:0c,ARP,60,192.168.253.136 is at 00:0c:29:5c:75:2f
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"199  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1025  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"25  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"587  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"993  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"256  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"135  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"3306  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"143  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"554  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"21  >  45782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"445  >  45782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  21 [RST] Seq=1 Win=0 Len=0
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  445 [RST] Seq=1 Win=0 Len=0
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"3389  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
